30.79,3.0,2,1
21.55,-3.0,1,1
26.17,-3.0,1,1
16.93,-3.0,1,1
35.41,3.0,2,1
16.93,3.0,2,1
3.08,3.0,2,1
12.32,-3.0,1,1
30.79,-3.0,1,1
50.77,1.53,1,1
7.7,-3.0,1,1
26.17,3.0,2,1
12.32,3.0,2,1
3.08,-3.0,1,1
47.4,-1.05,1,1
39.54,3.25,2,1
21.55,3.0,2,1
43.55,-2.26,1,1
39.49,-2.98,1,1
7.7,3.0,2,1
35.41,-3.0,1,1
43.4,4.95,2,1
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
40.7,3.0,2,1
26.61,3.0,2,1
17.22,3.0,2,1
31.31,3.0,2,1
45.4,-3.0,1,1
59.49,-3.0,1,1
86.36,20.73,1,1
82.82,9.77,2,1
21.92,3.0,2,1
77.74,15.77,2,1
40.7,-3.0,1,1
12.52,-3.0,1,1
59.49,3.0,2,1
86.3,0.44,1,1
21.92,-3.0,1,1
82.85,23.34,1,1
7.83,-3.0,1,1
90.62,13.15,1,1
82.77,-2.15,1,1
64.18,3.0,2,1
17.22,-3.0,1,1
68.88,3.0,2,1
31.31,-3.0,1,1
50.09,3.0,2,1
36.01,3.0,2,1
68.88,-3.0,1,1
50.09,-3.0,1,1
89.55,4.21,1,1
12.52,3.0,2,1
3.13,3.0,2,1
26.61,-3.0,1,1
3.13,-3.0,1,1
89.29,17.46,1,1
78.31,-2.98,1,1
45.4,3.0,2,1
54.79,3.0,2,1
81.96,13.96,2,1
81.55,5.72,2,1
73.58,-3.0,1,1
54.79,-3.0,1,1
7.83,3.0,2,1
64.18,-3.0,1,1
36.01,-3.0,1,1
73.58,3.0,2,1
90.71,8.58,1,1
78.08,3.28,2,1
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
18.76,-8.0,1,1
44.8,-24.03,2,1
31.53,-18.45,1,1
19.55,-1.37,2,1
7.51,2.32,2,1
6.83,-3.57,1,1
28.61,-15.44,1,1
33.14,-11.99,2,1
10.86,-4.44,1,1
37.36,-24.47,1,1
11.52,1.37,2,1
22.85,-9.53,1,1
36.06,-15.0,2,1
26.96,-6.34,2,1
34.44,-21.46,1,1
3.43,2.86,2,1
30.13,-8.97,2,1
25.62,-12.51,1,1
38.97,-18.01,2,1
40.27,-27.48,1,1
2.74,-3.09,1,1
41.89,-21.02,2,1
15.77,0.28,2,1
15.05,-6.23,1,1
23.14,-4.39,2,1
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
0.0,0.0,0,0
7.39,4.11,2,1
15.66,7.23,2,1
2.7,-2.96,1,1
6.91,-2.46,1,1
24.64,16.49,2,1
13.52,59.1,1,1
0.36,58.94,1,1
32.4,45.64,1,1
9.33,51.51,2,1
29.46,49.38,1,1
34.38,41.65,1,1
4.76,51.68,2,1
3.23,3.28,2,1
29.23,11.37,1,1
26.36,52.58,1,1
25.95,38.68,2,1
24.79,42.58,2,1
27.63,34.37,2,1
26.52,8.11,1,1
15.96,0.16,1,1
4.76,59.68,1,1
27.62,25.39,2,1
21.19,45.83,2,1
31.08,15.22,1,1
11.19,5.8,2,1
36.07,33.05,1,1
22.69,54.6,1,1
